,prijmeni,krestni_jmeno,obor,body_aj,body_mat,body_cj,letni_skola,souteze,body
0,Květoslava,Růžičková,Elektrotechnika,62,48,51,ne,,0.0
1,Jan,Moravec,Technické lyceum,81,74,66,ne,7. místo (matematická olympiáda),83.66666666666667
2,Denis,Fiala,Informatika,63,69,65,ne,,75.66666666666667
3,Luboš,Šimek,Informatika,78,79,65,ne,,84.0
4,Vilém,Novotný,Informatika,84,68,78,ano,,91.66666666666667
5,Drahomíra,Štěpánková,Elektrotechnika,69,74,60,ne,,77.66666666666667
6,Vlasta,Horáková,Technické lyceum,53,61,57,ne,,0.0
7,Šimon,Pospíšil,Technické lyceum,70,66,68,ne,,78.0
8,Jaroslav,Říha,Elektrotechnika,79,71,63,ne,,81.0
9,Renata,Malá,Elektrotechnika,71,66,75,ano,,85.66666666666667
10,Vilém,Dvořák,Elektrotechnika,98,92,80,ne,,100.0
11,Radka,Dušková,Technické lyceum,88,70,66,ne,,84.66666666666667
12,Luděk,Kratochvíl,Elektrotechnika,92,89,93,ne,,101.33333333333333
13,Kamila,Vacková,Technické lyceum,56,41,57,ne,,0.0
14,Simona,Němcová,Technické lyceum,63,56,61,ne,,0.0
15,Erik,Dvořák,Technické lyceum,68,71,61,ne,,76.66666666666667
16,Nikola,Moravcová,Technické lyceum,55,50,67,ne,,0.0
17,Rudolf,Dvořák,Elektrotechnika,83,62,85,ne,,86.66666666666667
18,Eduard,Doležal,Elektrotechnika,84,69,68,ne,,83.66666666666667
19,Vítězslav,Kučera,Technické lyceum,69,61,53,ne,,0.0
20,Otakar,Malý,Elektrotechnika,57,69,61,ne,,0.0
21,Vítězslav,Jelínek,Elektrotechnika,79,63,70,ne,,80.66666666666667
22,Richard,Fiala,Elektrotechnika,85,79,75,ne,,89.66666666666667
23,Sára,Blažková,Technické lyceum,88,79,76,ne,,91.0
24,Marcel,Šimek,Elektrotechnika,53,54,49,ano,,0.0
25,Květa,Soukupová,Informatika,67,49,59,ne,,0.0
26,Martin,Hájek,Informatika,60,45,48,ne,,0.0
27,Marek,Kratochvíl,Elektrotechnika,70,76,71,ne,,82.33333333333333
28,Anežka,Marešová,Elektrotechnika,73,76,77,ano,,90.33333333333333
29,Aleš,Novotný,Technické lyceum,81,81,77,ne,,89.66666666666667
30,Rudolf,Veselý,Technické lyceum,83,66,70,ano,,88.0
31,Jan,Kadlec,Technické lyceum,61,67,62,ne,,73.33333333333334
32,Robert,Vlček,Elektrotechnika,79,51,61,ano,,0.0
33,Richard,Říha,Elektrotechnika,71,59,75,ne,,0.0
34,Romana,Marešová,Informatika,70,64,72,ne,,78.66666666666667
35,Božena,Malá,Informatika,51,60,56,ne,,0.0
36,Alexandr,Polák,Elektrotechnika,74,79,77,ne,,86.66666666666667
37,Erik,Procházka,Informatika,88,70,87,ano,,96.66666666666667
38,Monika,Kratochvílová,Technické lyceum,60,76,65,ne,,77.0
39,Pavel,Kratochvíl,Elektrotechnika,69,63,63,ne,5. místo (zeměpisná olympiáda),75.0
40,Markéta,Kratochvílová,Informatika,79,75,68,ne,,84.0
41,Tomáš,Marek,Elektrotechnika,79,68,74,ne,,83.66666666666667
42,Vojtěch,Doležal,Elektrotechnika,83,80,86,ne,,93.0
43,Jarmila,Tichá,Informatika,74,50,69,ne,,0.0
44,Miroslav,Horák,Elektrotechnika,56,69,68,ne,,0.0
45,Jarmila,Zemanová,Technické lyceum,84,76,71,ne,,87.0
46,Zdenka,Dušková,Technické lyceum,79,77,75,ne,,87.0
47,Danuše,Kopecká,Informatika,64,80,64,ano,,84.33333333333333
48,Marie,Říhová,Elektrotechnika,91,71,78,ano,,95.0
49,Arnošt,Černý,Technické lyceum,47,61,59,ne,,0.0
50,Leoš,Procházka,Elektrotechnika,36,28,36,ne,,0.0
51,René,Sedláček,Informatika,55,55,58,ano,,0.0
52,Alice,Moravcová,Elektrotechnika,59,38,57,ne,,0.0
53,Kateřina,Zemanová,Informatika,69,61,75,ne,,78.33333333333333
54,Viktorie,Novotná,Informatika,54,60,60,ne,10. místo (zeměpisná olympiáda),0.0
55,Mária,Kadlecová,Technické lyceum,78,82,88,ne,,92.66666666666667
56,Alexandra,Kučerová,Elektrotechnika,57,59,61,ne,,0.0
57,René,Pospíšil,Elektrotechnika,88,67,90,ano,,96.66666666666667
58,Iva,Svobodová,Elektrotechnika,72,56,62,ano,,0.0
59,Alena,Fialová,Informatika,103,101,93,ne,,109.0
60,František,Dvořák,Informatika,63,63,53,ne,,0.0
61,Vilém,Jelínek,Elektrotechnika,81,62,66,ne,,79.66666666666667
62,Peter,Štěpánek,Elektrotechnika,46,36,58,ano,,0.0
63,Marta,Marková,Elektrotechnika,80,64,62,ne,,78.66666666666667
64,Eva,Křížová,Technické lyceum,77,78,67,ne,,84.0
65,Eduard,Polák,Elektrotechnika,83,60,66,ano,,84.66666666666667
66,Leoš,Dvořák,Elektrotechnika,69,79,67,ne,,81.66666666666667
67,Bohumila,Mašková,Informatika,72,59,67,ne,,0.0
68,Martina,Holubová,Informatika,64,45,64,ne,,0.0
69,Antonín,Šimek,Technické lyceum,74,54,75,ne,,0.0
70,Kamila,Novotná,Informatika,63,71,74,ne,,79.33333333333333
71,Klára,Machová,Technické lyceum,76,62,74,ne,,80.66666666666667
72,Lubomír,Holub,Elektrotechnika,96,90,82,ne,,99.33333333333333
73,Kamil,Zeman,Informatika,84,72,79,ano,8. místo (matematická olympiáda),93.33333333333333
74,Alexander,Šťastný,Elektrotechnika,80,53,61,ne,,0.0
75,Pavel,Svoboda,Elektrotechnika,53,59,66,ano,,0.0
76,Lukáš,Soukup,Informatika,76,74,75,ne,,85.0
77,Erik,Zeman,Informatika,69,68,83,ne,,83.33333333333333
78,Dominik,Šimek,Informatika,87,85,82,ne,,94.66666666666667
79,Ladislava,Marková,Elektrotechnika,72,71,75,ne,,82.66666666666667
80,Žaneta,Holubová,Elektrotechnika,63,57,70,ne,,0.0
81,Milena,Dvořáková,Elektrotechnika,70,89,71,ne,4. místo (matematická olympiáda),86.66666666666667
82,Miloš,Jelínek,Elektrotechnika,58,50,69,ne,,0.0
83,Ondřej,Štěpánek,Informatika,76,73,62,ne,,80.33333333333333
84,Miroslava,Soukupová,Informatika,72,74,83,ne,,86.33333333333333
85,Dušan,Vlček,Technické lyceum,74,54,73,ne,,0.0
86,Marie,Kolářová,Technické lyceum,59,44,68,ne,,0.0
87,Veronika,Poláková,Technické lyceum,68,68,61,ano,,80.66666666666667
88,Vratislav,Procházka,Elektrotechnika,62,74,61,ne,,75.66666666666667
89,Milada,Vaňková,Elektrotechnika,77,75,66,ne,,82.66666666666667
90,Bohumil,Mareš,Informatika,62,45,67,ne,6. místo (chemikální olympiáda),0.0
91,Robert,Vlček,Technické lyceum,69,61,51,ne,,0.0
92,Alexandra,Šimková,Informatika,72,80,68,ano,,88.33333333333333
93,Julie,Šťastná,Elektrotechnika,83,78,75,ne,,88.66666666666667
94,Sabina,Mašková,Elektrotechnika,62,56,61,ne,,0.0
95,Aleš,Marek,Technické lyceum,65,77,69,ne,5. místo (fyzikální olympiáda),80.33333333333333
96,Patrik,Malý,Technické lyceum,78,62,81,ano,,88.66666666666667
97,Bohuslav,Mašek,Elektrotechnika,66,59,68,ne,9. místo (zeměpisná olympiáda),0.0
98,Ivana,Vávrová,Elektrotechnika,71,70,62,ne,,77.66666666666667
99,Zbyněk,Procházka,Elektrotechnika,61,59,68,ano,,0.0
100,Hynek,Pokorný,Informatika,58,66,49,ne,,0.0
101,Vladimír,Novotný,Elektrotechnika,72,80,84,ne,,88.66666666666667
102,Ladislava,Růžičková,Technické lyceum,49,46,63,ne,,0.0
103,Rostislav,Horák,Elektrotechnika,70,55,59,ano,,0.0
104,Žaneta,Marešová,Elektrotechnika,60,52,62,ne,,0.0
105,Markéta,Horáková,Elektrotechnika,74,61,73,ne,6. místo (zeměpisná olympiáda),79.33333333333333
106,Radek,Urban,Informatika,76,83,79,ne,,89.33333333333333
107,Lukáš,Malý,Elektrotechnika,79,79,77,ne,,88.33333333333333
108,Iva,Holubová,Technické lyceum,81,63,71,ne,,81.66666666666667
109,Erik,Kopecký,Informatika,83,73,81,ne,,89.0
110,Jarmila,Šťastná,Technické lyceum,88,65,85,ano,,94.33333333333333
111,Hynek,Krejčí,Elektrotechnika,78,74,59,ano,,0.0
112,Kateřina,Horáková,Informatika,80,76,74,ano,,91.66666666666667
113,Nela,Benešová,Elektrotechnika,64,63,65,ano,,79.0
114,Otakar,Kolář,Informatika,87,98,91,ne,1. místo (přírodopisná olympiáda),102.0
115,Klára,Procházková,Technické lyceum,68,72,81,ne,,83.66666666666667
116,Soňa,Dušková,Technické lyceum,76,80,63,ne,,83.0
117,Kamil,Šťastný,Elektrotechnika,75,50,63,ne,,0.0
118,Erik,Beneš,Elektrotechnika,73,87,86,ano,,97.0
119,Alexander,Malý,Informatika,48,52,61,ne,,0.0
120,Michal,Kratochvíl,Informatika,99,89,82,ne,10. místo (fyzikální olympiáda),100.0
121,Hana,Šťastná,Elektrotechnika,76,77,76,ano,,91.33333333333333
122,René,Veselý,Informatika,79,76,81,ne,,88.66666666666667
123,Karolína,Nováková,Elektrotechnika,84,95,79,ne,,96.0
124,Antonín,Jelínek,Elektrotechnika,78,52,59,ne,,0.0
125,David,Vaněk,Elektrotechnika,67,50,62,ne,,0.0
126,Vladislav,Kopecký,Informatika,67,58,56,ne,,0.0
127,Vlasta,Marková,Elektrotechnika,71,66,67,ne,,78.0
128,Marta,Novotná,Informatika,80,54,75,ano,,0.0
129,Oldřich,Kříž,Elektrotechnika,60,56,62,ne,,0.0
130,Alexander,Vaněk,Informatika,63,76,74,ne,6. místo (matematická olympiáda),81.0
131,Milan,Novák,Technické lyceum,59,49,64,ne,,0.0
132,Bohumír,Dušek,Technické lyceum,81,62,70,ne,,81.0
133,Aneta,Kolářová,Elektrotechnika,72,73,80,ano,,90.0
134,Aneta,Jandová,Elektrotechnika,81,63,82,ne,,85.33333333333333
135,Radovan,Král,Technické lyceum,67,58,62,ne,,0.0
136,Rudolf,Holub,Technické lyceum,76,75,63,ne,,81.33333333333333
137,Olga,Vacková,Technické lyceum,74,58,73,ne,,0.0
138,Anežka,Kolářová,Elektrotechnika,92,78,91,ne,,97.0
139,Stanislava,Kolářová,Elektrotechnika,81,72,67,ne,,83.33333333333333
140,Richard,Kopecký,Elektrotechnika,74,67,74,ne,,81.66666666666667
141,Zdenka,Růžičková,Technické lyceum,71,59,59,ne,,0.0
142,Marta,Krejčová,Informatika,75,63,74,ne,,80.66666666666667
143,Daniela,Poláková,Elektrotechnika,102,78,94,ne,,101.33333333333333
144,Marie,Horáková,Elektrotechnika,75,84,84,ne,,91.0
145,Jaroslava,Šimková,Technické lyceum,48,65,47,ne,,0.0
146,Klára,Soukupová,Elektrotechnika,68,70,55,ne,,0.0
147,Bedřich,Dušek,Elektrotechnika,90,65,75,ne,,86.66666666666667
148,Jaromír,Svoboda,Technické lyceum,71,72,79,ne,,84.0
149,Jindřich,Král,Informatika,66,56,51,ne,,0.0
150,Vítězslav,Kadlec,Elektrotechnika,79,66,68,ne,,81.0
151,Stanislava,Fialová,Elektrotechnika,61,47,53,ne,,0.0
152,Roman,Mareš,Elektrotechnika,67,62,61,ne,,73.33333333333334
153,Ladislav,Urban,Technické lyceum,95,93,95,ne,,104.33333333333333
154,Zdenka,Kratochvílová,Technické lyceum,69,48,67,ne,,0.0
155,Renáta,Malá,Informatika,90,77,76,ne,,91.0
156,Naděžda,Krejčová,Informatika,61,60,58,ne,,0.0
157,Mária,Hájková,Elektrotechnika,63,79,64,ne,,78.66666666666667
158,René,Veselý,Technické lyceum,53,71,62,ne,9. místo (přírodopisná olympiáda),0.0
159,Ivo,Štěpánek,Technické lyceum,82,59,74,ne,,0.0
160,Barbora,Vacková,Elektrotechnika,90,83,87,ne,2. místo (přírodopisná olympiáda),96.66666666666667
161,Romana,Kratochvílová,Elektrotechnika,77,63,73,ne,,81.0
162,Matyáš,Marek,Elektrotechnika,79,77,83,ano,,94.66666666666667
163,Milada,Kadlecová,Technické lyceum,64,47,60,ne,,0.0
164,Emilie,Marešová,Elektrotechnika,89,77,74,ne,,90.0
165,Františka,Procházková,Informatika,64,69,72,ne,,78.33333333333333
166,Radek,Bláha,Elektrotechnika,103,73,83,ne,,96.33333333333333
167,Milada,Králová,Informatika,76,62,75,ne,,81.0
168,Ján,Dvořák,Informatika,95,94,92,ne,,103.66666666666667
169,Vít,Šťastný,Informatika,66,72,80,ne,,82.66666666666667
170,Julie,Králová,Technické lyceum,59,54,63,ne,4. místo (přírodopisná olympiáda),0.0
171,Robin,Zeman,Technické lyceum,86,66,67,ne,1. místo (fyzikální olympiáda),83.0
172,Šimon,Novák,Elektrotechnika,52,41,49,ano,,0.0
173,Eduard,Hájek,Technické lyceum,67,70,68,ne,,78.33333333333333
174,Olga,Kadlecová,Technické lyceum,78,72,74,ne,,84.66666666666667
175,Karel,Čermák,Elektrotechnika,76,72,82,ne,8. místo (fyzikální olympiáda),86.66666666666667
176,Daniel,Mašek,Elektrotechnika,74,81,77,ne,,87.33333333333333
177,Vilém,Říha,Informatika,62,70,78,ne,,80.0
178,Richard,Fiala,Elektrotechnika,70,71,54,ne,,0.0
179,Romana,Bartošová,Elektrotechnika,77,54,69,ne,,0.0
180,Michaela,Poláková,Elektrotechnika,75,50,62,ne,,0.0
181,Alexander,Sedláček,Elektrotechnika,57,58,57,ne,,0.0
182,Blanka,Horáková,Technické lyceum,84,71,95,ne,,93.33333333333333
183,Blanka,Němcová,Informatika,84,87,89,ne,,96.66666666666667
184,Julie,Dvořáková,Informatika,62,65,51,ne,,0.0
185,Adam,Krejčí,Informatika,67,56,77,ne,,0.0
186,Vilém,Marek,Elektrotechnika,92,85,79,ne,,95.33333333333333
187,Radomír,Vlček,Elektrotechnika,77,75,71,ne,,84.33333333333333
188,Štěpánka,Blažková,Informatika,47,63,60,ne,,0.0
189,Sára,Procházková,Informatika,74,65,59,ne,,0.0
