,index,prijmeni,krestni_jmeno,obor,body_aj,body_mat,body_cj,letni_skola,souteze,body
0,1,Jan,Moravec,Technické lyceum,81,74,66,ne,7. místo (matematická olympiáda),231
1,2,Denis,Fiala,Informatika,63,69,65,ne,,197
2,3,Luboš,Šimek,Informatika,78,79,65,ne,,222
3,4,Vilém,Novotný,Informatika,84,68,78,ano,,235
4,5,Drahomíra,Štěpánková,Elektrotechnika,69,74,60,ne,,203
5,7,Šimon,Pospíšil,Technické lyceum,70,66,68,ne,,204
6,8,Jaroslav,Říha,Elektrotechnika,79,71,63,ne,,213
7,9,Renata,Malá,Elektrotechnika,71,66,75,ano,,217
8,10,Vilém,Dvořák,Elektrotechnika,98,92,80,ne,,270
9,11,Radka,Dušková,Technické lyceum,88,70,66,ne,,224
10,12,Luděk,Kratochvíl,Elektrotechnika,92,89,93,ne,,274
11,15,Erik,Dvořák,Technické lyceum,68,71,61,ne,,200
12,17,Rudolf,Dvořák,Elektrotechnika,83,62,85,ne,,230
13,18,Eduard,Doležal,Elektrotechnika,84,69,68,ne,,221
14,21,Vítězslav,Jelínek,Elektrotechnika,79,63,70,ne,,212
15,22,Richard,Fiala,Elektrotechnika,85,79,75,ne,,239
16,23,Sára,Blažková,Technické lyceum,88,79,76,ne,,243
17,27,Marek,Kratochvíl,Elektrotechnika,70,76,71,ne,,217
18,28,Anežka,Marešová,Elektrotechnika,73,76,77,ano,,231
19,29,Aleš,Novotný,Technické lyceum,81,81,77,ne,,239
20,30,Rudolf,Veselý,Technické lyceum,83,66,70,ano,,224
21,31,Jan,Kadlec,Technické lyceum,61,67,62,ne,,190
22,34,Romana,Marešová,Informatika,70,64,72,ne,,206
23,36,Alexandr,Polák,Elektrotechnika,74,79,77,ne,,230
24,37,Erik,Procházka,Informatika,88,70,87,ano,,250
25,38,Monika,Kratochvílová,Technické lyceum,60,76,65,ne,,201
26,39,Pavel,Kratochvíl,Elektrotechnika,69,63,63,ne,5. místo (zeměpisná olympiáda),205
27,40,Markéta,Kratochvílová,Informatika,79,75,68,ne,,222
28,41,Tomáš,Marek,Elektrotechnika,79,68,74,ne,,221
29,42,Vojtěch,Doležal,Elektrotechnika,83,80,86,ne,,249
